name,score,email
Tiffany Dalton605,614,lori87@hotmail.com
Christopher Morrow6526,618,mdaugherty@yahoo.com
Tanya Armstrong3442,325,kingmichael@gmail.com
Mary Pham2217,640,jonesjennifer@hotmail.com
Randall Aguilar9461,820,tfoster@yahoo.com
Paul Harmon7589,846,waltonelizabeth@yahoo.com
Nathan Phelps9144,688,fcolon@gmail.com
Matthew King5611,284,rachel58@hotmail.com
Laura Curry3878,714,grayalbert@hotmail.com
Donald Rios7799,325,smithjenna@gmail.com
Sara Hawkins7482,182,kimberlyhudson@gmail.com
Tom Woods4097,457,josephjensen@hotmail.com
Jeffrey Hansen8559,475,johnstonmeredith@yahoo.com
Elizabeth Parker9759,664,ytran@hotmail.com
Kristen Wilkerson6558,143,connor16@gmail.com
Thomas James8872,776,patrickdelacruz@hotmail.com
Jennifer Crawford8098,215,brownangela@yahoo.com
Tiffany Garcia8768,666,michael14@gmail.com
Michelle Decker1233,866,glowe@hotmail.com
Karen Smith5321,594,stephaniephelps@gmail.com
Brandon Hicks5047,557,paulroach@yahoo.com
Richard Thompson5675,502,nwilliams@yahoo.com
Richard Lucas8985,481,ssutton@yahoo.com
Jose Rose9351,796,lacey80@gmail.com
Jill Rodriguez9306,229,jose61@hotmail.com
Allen Figueroa5676,460,maystroy@hotmail.com
Christina Wilson6046,475,ashleygreen@hotmail.com
Daniel Hill6015,765,anna17@hotmail.com
Amy Thompson5220,964,cgordon@yahoo.com
Danielle Diaz7523,110,nmurray@hotmail.com
Kimberly Barber349,593,shawdaniel@yahoo.com
Paul Sanchez5398,608,alexismason@gmail.com
Stephen Long2586,452,fdavidson@yahoo.com
Tina Tate5495,584,arobinson@yahoo.com
Christopher Miller2317,451,thomasperez@yahoo.com
Thomas Webb6439,447,bbailey@gmail.com
Ian Moore3399,117,donald61@yahoo.com
Ryan Phillips9475,714,xcooper@hotmail.com
Lisa Morrison8355,682,jonesgeorge@yahoo.com
Scott Melendez2080,364,kevinspencer@gmail.com
Kimberly Benson9911,118,clarkamber@gmail.com
Caitlin Richmond2665,957,carol80@hotmail.com
Daniel Allen7764,159,zacharygreene@gmail.com
Kaitlyn Hudson4569,882,rogersevelyn@hotmail.com
Mark Tran381,366,lisa87@hotmail.com
Mark West512,834,rachel50@yahoo.com
Kristina Grant4411,208,rdavis@hotmail.com
Mrs. Adrienne Patterson6728,275,hickmankimberly@gmail.com
David Parker8202,599,garylove@hotmail.com
Monica Perry7347,607,bdavies@gmail.com
Chloe Glover804,846,johnwheeler@yahoo.com
Joseph Ross5649,539,yfoster@yahoo.com
Kenneth Murray5895,322,xmartinez@yahoo.com
Curtis Wells1836,294,ywade@hotmail.com
Justin Downs6871,447,hhiggins@gmail.com
Michelle Watson6821,348,elizabeth26@gmail.com
Christine Turner9716,520,eburke@gmail.com
Kenneth Smith5708,927,lauramcpherson@hotmail.com
Jay Hayden5790,403,edwardsmichael@gmail.com
Kimberly Sanders6684,116,stevenpierce@gmail.com
Douglas Hoffman9904,750,ashleycollins@gmail.com
Stephanie Perez2123,538,mary83@gmail.com
Nicole Nguyen4144,134,katherineboone@yahoo.com
Juan Santos7523,451,jessicabates@yahoo.com
Matthew Hernandez8022,627,megan59@gmail.com
Nicholas Ferguson9846,947,ynelson@hotmail.com
Brian Molina2045,982,roberttyler@hotmail.com
Edward Cervantes9148,107,vjones@gmail.com
Kathleen Mitchell9196,542,gregorybryan@gmail.com
William Ruiz3933,550,zgarza@gmail.com
Robert Reynolds2297,634,lblackwell@yahoo.com
Caroline Martin7464,794,zburton@gmail.com
Mandy Becker9331,982,aaronkim@gmail.com
Chloe Dawson8025,521,isaac38@yahoo.com
Robin Santana4075,774,dannytucker@hotmail.com
Amy Cowan DVM936,695,yjohnson@yahoo.com
Brittany Henderson7521,704,sharpsarah@hotmail.com
Crystal Murphy3176,947,wilsonjoseph@hotmail.com
Lori Smith1027,907,johnny12@yahoo.com
Matthew Henderson3357,720,joshuaortiz@hotmail.com
Corey Hicks9507,297,ufuller@gmail.com
Lauren Hendrix4842,418,kpalmer@gmail.com
Adam Burnett4874,162,huntmichelle@yahoo.com
Elizabeth Bond5248,336,bensonadriana@hotmail.com
Ronald Dodson5291,298,rebeccajones@hotmail.com
Daniel Fox8087,709,russell77@yahoo.com
Kristina Fowler603,875,lamrobert@hotmail.com
Jordan Wyatt2907,751,amandaflowers@hotmail.com
Brandon Oconnell6993,600,jeffrey74@gmail.com
Susan Foster932,790,katherine47@hotmail.com
Miranda Miller6475,177,silvacarla@gmail.com
Anne White3618,118,davidvaldez@yahoo.com
Daniel Rosario9471,329,sharon89@gmail.com
Kenneth Benjamin8938,642,marilyn80@yahoo.com
Denise Coleman3311,208,sswanson@yahoo.com
Lisa Mcknight6983,662,ecooper@yahoo.com
Bryan Mills7521,681,mckenzie55@gmail.com
Bradley Fuentes676,987,higginsmichael@yahoo.com
Eugene Jones9980,327,stephanie09@yahoo.com
Julie Banks8342,239,amelton@hotmail.com
Ms. Rebecca Farley MD55,369,bclayton@gmail.com
Paige Smith5217,411,crystalperez@yahoo.com
Kenneth Freeman2952,587,tmendez@gmail.com
Crystal Gilbert3659,747,lee76@hotmail.com
Samuel Moyer3199,126,nmartinez@yahoo.com
Joel Thomas54,442,maddoxcharles@yahoo.com
Pamela York8104,742,jennamoody@hotmail.com
Caleb Buckley5257,369,juarezzachary@gmail.com
Carrie White8517,237,gcaldwell@yahoo.com
Angela Williams2798,366,leroyrobinson@gmail.com
Adam Smith4669,256,wcummings@yahoo.com
Dr. Shaun Chavez6871,451,glovertracy@hotmail.com
Aaron Garcia9105,275,michelle32@gmail.com
Michael Ayers8256,944,lauren47@hotmail.com
Lindsay Waller2675,100,drewfisher@hotmail.com
Adam Murillo6955,770,rogeryoung@hotmail.com
Kendra Simon1516,630,michelle10@gmail.com
Jason Francis334,915,christina38@hotmail.com
Yesenia Mclean7864,465,garciarobert@yahoo.com
Morgan Rich9525,967,alleneric@hotmail.com
Kirk Brown3648,565,petermiller@hotmail.com
Alisha Rodriguez1712,958,foxshannon@hotmail.com
Lisa Weeks5397,583,fhinton@hotmail.com
Jeffrey Walsh5126,642,evanskyle@gmail.com
Kristi Brady5829,990,ccharles@gmail.com
Matthew Davidson4338,434,parkerashley@gmail.com
Stephanie Rodriguez7544,874,markmarshall@yahoo.com
Dr. Lynn Gonzalez4613,500,jacksonerik@yahoo.com
Antonio Martinez4508,669,bishopbeth@gmail.com
Cory Miller9111,214,erinrussell@hotmail.com
John Sandoval8502,494,wwalker@hotmail.com
Cory Thomas6396,134,robertshaw@yahoo.com
Thomas Smith8864,924,blackdiana@yahoo.com
Richard King3508,912,strongemily@hotmail.com
Heather Vega8669,339,justin35@hotmail.com
Sarah Wilson9192,434,joseph61@hotmail.com
Gary White4495,803,hillcristina@gmail.com
Miguel Watkins7880,883,tvaughn@yahoo.com
Lori Thompson5060,902,castromaria@yahoo.com
Briana Garcia3585,533,kristenweaver@yahoo.com
Stephen Page9005,568,linda79@gmail.com
Robert Mclaughlin6312,734,jonathan79@yahoo.com
Miranda Watson5032,718,christine49@gmail.com
Diane Robinson3526,440,justin50@hotmail.com
Sarah Cooley3303,543,saraprice@gmail.com
Rodney Sanders6363,540,jamesklein@hotmail.com
Linda Brown9021,873,montoyatheresa@gmail.com
Anthony Collins6200,653,ecampbell@hotmail.com
Sean Parker4085,390,lauriehutchinson@yahoo.com
Christopher Duncan3463,749,sanchezconnie@yahoo.com
Michael Morgan4146,526,flemingmargaret@hotmail.com
Matthew Brown3011,430,pevans@hotmail.com
Terrance Gutierrez3145,763,crystal63@yahoo.com
Denise Snyder6501,921,toddbass@gmail.com
Amber Lee DVM9419,128,stephanie04@gmail.com
Jacob Caldwell9357,717,deborah25@gmail.com
Angela Ross2554,166,harold73@gmail.com
Joel Edwards3421,670,williamsandrew@hotmail.com
Christopher Williams4119,586,qlynn@gmail.com
Robert Huffman5173,824,kentdavis@yahoo.com
Susan Hanson2550,268,hendrickstaylor@hotmail.com
James Harper8013,984,ofoley@yahoo.com
Cameron Wright2918,296,catherine27@yahoo.com
Ashley Ortiz1618,450,stewartphillip@gmail.com
Erika Huang9984,610,thomasfischer@hotmail.com
Pamela Medina3226,707,cody62@yahoo.com
Michael Taylor6992,388,dylan09@gmail.com
Emily Wheeler222,389,myersanthony@gmail.com
Dean Lee971,716,nicholasshort@yahoo.com
Louis Reed7529,444,wrightjoan@gmail.com
William Hill8565,733,nrichardson@hotmail.com
Robert Hale5016,344,jklein@yahoo.com
Devon Holt1385,301,tsmall@hotmail.com
Albert Price3725,917,youngmarc@yahoo.com
Jessica Sparks5910,166,smithmargaret@hotmail.com
Bethany Hughes541,161,jay18@gmail.com
Zachary Baker6531,843,anelson@yahoo.com
Alan Osborne6523,353,deborah98@hotmail.com
Clarence Blair9463,347,upaul@hotmail.com
Kelsey Smith9698,569,sandra60@gmail.com
Elizabeth Page7769,504,zdrake@gmail.com
Kimberly Hendricks1703,767,abigailhurley@yahoo.com
Devon Ortiz8135,872,nicolethompson@gmail.com
Julie Gomez1533,447,freemanmichele@gmail.com
Mary Swanson6455,303,alyssarobinson@gmail.com
Damon Wright3276,978,davidbrown@hotmail.com
Cameron Curtis9665,467,saguilar@yahoo.com
Alex Clarke1004,103,jthomas@gmail.com
Dr. Amber Garcia4121,340,ivega@yahoo.com
Thomas Hays8811,249,nicole01@hotmail.com
Kathryn Randall5809,551,langbrad@gmail.com
Michael Davis67,254,fclements@gmail.com
Alison Harrison616,857,caitlin96@hotmail.com
Jeffery Gardner DVM365,786,pmitchell@gmail.com
Randy Vincent6549,642,elizabethreynolds@yahoo.com
Brian Jackson6772,653,jamesmartin@gmail.com
Shannon Porter8282,256,janet27@gmail.com
Scott Frost8664,328,msmith@yahoo.com
Emily Brown4945,533,jennifer03@yahoo.com
Jodi Black156,954,qknight@hotmail.com
Lauren Flynn9847,302,kenneth96@yahoo.com
Kelly Mayer5385,663,emilyrose@yahoo.com
Kathryn Gutierrez48,342,ypeters@gmail.com
David Trujillo7494,803,longstephanie@yahoo.com
Melanie Holt8447,208,laura37@yahoo.com
Anna Hull1342,216,qvelasquez@yahoo.com
Adrian Jones9630,899,marksmegan@yahoo.com
Briana Schwartz2233,635,imcbride@gmail.com
Adam Velez679,418,bobbycook@hotmail.com
Shannon Garcia4628,548,qcaldwell@gmail.com
Jose Morrison5470,270,christopher74@yahoo.com
Michael Matthews1023,170,jamesfox@yahoo.com
Gregory Wilson6274,185,theresa19@gmail.com
Kimberly Miller5426,823,katherine98@gmail.com
Jeremy Hart180,828,matthewcox@gmail.com
Nicholas Sullivan9848,171,brianmarsh@hotmail.com
Elizabeth Butler7457,484,darryl25@gmail.com
Carolyn Barrera3789,310,broberts@gmail.com
Theresa Williamson4103,815,ubaldwin@gmail.com
Pamela Jackson7007,493,debrapope@yahoo.com
Jason Bryan9076,950,roachgregory@gmail.com
Patricia Powell1850,277,victorwagner@gmail.com
Christina Gomez6235,900,davidking@yahoo.com
Suzanne Thomas7623,787,ortizbradley@gmail.com
Cody Jordan2714,321,krystalsmith@hotmail.com
Christine Carlson5954,953,christopherking@gmail.com
Andrea Tran5448,587,bennettwalter@yahoo.com
Briana Jenkins9283,254,donaldmoore@gmail.com
Samantha Martin5830,704,micheal18@yahoo.com
Sarah Cook7060,176,sturner@yahoo.com
Brian Reed3898,727,ublair@gmail.com
Rachel Simon2165,801,denise09@gmail.com
Daniel Ramirez6876,926,deborah52@gmail.com
Heather Brooks4998,715,michellemurphy@hotmail.com
John Patel6772,879,jonesjennifer@yahoo.com
Keith Obrien647,802,markanderson@hotmail.com
Kathryn Adams6730,524,crystal01@yahoo.com
Michelle Harrington7681,787,tiffany71@hotmail.com
Jesus Farmer3507,303,brian92@gmail.com
James Jones4158,399,penningtondaniel@yahoo.com
Patrick Johnson1853,538,mauricegray@hotmail.com
Nicole Coffey9773,964,frowe@yahoo.com
Kenneth Jones7677,594,pamela29@gmail.com
Robin Parrish9419,753,bartonjohnny@gmail.com
Kayla Harris5829,525,raymondcandice@gmail.com
Keith Williams3147,655,ithompson@gmail.com
Cynthia Martin1667,210,adrianoconnor@hotmail.com
Jonathan Edwards9827,254,qhale@yahoo.com
Sarah Faulkner7445,840,qwashington@gmail.com
David Smith887,245,christopher08@hotmail.com
Matthew Davis5815,222,djennings@gmail.com
William Kennedy589,990,qmccall@hotmail.com
Charles Kennedy6550,200,lisa29@yahoo.com
Elizabeth Donovan8789,134,wanda87@gmail.com
Janet Anthony5416,763,christophermorgan@hotmail.com
Matthew Crawford8918,472,patricia20@yahoo.com
Hannah Fuller8578,676,elliottgene@yahoo.com
Robin Cain8051,431,pattersondonna@yahoo.com
Kyle James II7938,378,ramirezlisa@hotmail.com
Zachary Chase2270,906,tiffany05@yahoo.com
Amy Estrada3721,972,jasonadams@hotmail.com
Jeremiah Harmon1098,614,louisbarrett@gmail.com
Melissa Baker7883,182,gweaver@yahoo.com
Gregory Blevins257,479,joannabailey@hotmail.com
Alan Greer8281,311,snyderpaul@yahoo.com
Jonathan Johns4660,240,uholder@yahoo.com
Tracy Wall6755,143,kcain@hotmail.com
Taylor Perry3725,273,fchan@gmail.com
Angelica Marshall8419,963,martineztracy@hotmail.com
Sarah Rosales4943,458,rperez@yahoo.com
Stephanie Wood4145,267,mmartin@hotmail.com
Maurice Jacobs201,100,iwashington@hotmail.com
Steven Sparks4795,870,iberry@yahoo.com
Mary Brown8801,119,rhondalopez@gmail.com
Kathryn Holt48,587,vegakristin@yahoo.com
Dennis Hopkins51,468,hkelly@gmail.com
Devin Lee2251,253,carmen89@gmail.com
Jonathan Gonzalez5793,460,lauralang@yahoo.com
Philip Kaiser9991,380,flivingston@gmail.com
Anthony Williams8527,947,jeffrey52@hotmail.com
Deanna Nixon3665,234,lgarcia@hotmail.com
Jamie Walters6144,137,mcguirejennifer@yahoo.com
Jonathan Prince DVM7190,266,april97@gmail.com
Kimberly Maynard3474,271,lindsay38@gmail.com
Linda Ramirez15,217,kyle91@yahoo.com
Melissa Benitez8896,646,hawkinsnichole@hotmail.com
Amy Davis6589,294,johnsoneric@gmail.com
Gary Bates9313,735,ntyler@hotmail.com
Susan Thomas4027,953,smithjose@hotmail.com
Samantha Vargas268,189,tdelgado@yahoo.com
Douglas Bond77,352,woodwilliam@yahoo.com
James Mays7077,989,gonzalezrebecca@gmail.com
Dr. Ann Todd DVM7145,424,heidi45@hotmail.com
Cameron Schaefer7916,127,craig85@hotmail.com
William Espinoza4756,254,manuel89@yahoo.com
William Garrett2330,439,edwardscharles@gmail.com
Matthew Burns5747,126,brittanydaugherty@yahoo.com
Bobby Gonzalez5763,569,jeremy63@hotmail.com
Angela Jones3063,918,clarkeadam@yahoo.com
Kimberly Hall9673,382,thomasmelanie@yahoo.com
Tiffany Castillo6819,120,carolyn84@yahoo.com
Christopher Cohen3341,457,danny67@gmail.com
Rodney Mcdonald8897,612,tammygibbs@gmail.com
David Page3437,780,megangreen@hotmail.com
Erik Fuller7733,982,bmiller@hotmail.com
Matthew Riddle6956,219,danielle06@gmail.com
Derek Hart6980,869,jacksonwendy@yahoo.com
Daniel Peterson2607,884,kevincooper@hotmail.com
Shane Miller4835,774,jennifer36@gmail.com
Jason Johns9718,226,ncordova@yahoo.com
Emma Ford656,243,andrew01@gmail.com
Donna Montgomery2255,615,clinton62@yahoo.com
Travis Evans8182,294,darrenschneider@gmail.com
Jamie Brown351,616,jsmith@hotmail.com
Patrick Stewart3743,102,tyler50@gmail.com
Phillip Carroll5680,710,shelbyduncan@gmail.com
Dustin Rojas3262,605,wbarnett@gmail.com
Meagan Smith1054,585,jasonnelson@hotmail.com
Jason Barnett8440,182,rodriguezjoseph@yahoo.com
Thomas Sheppard1750,824,fordjennifer@gmail.com
Benjamin Chavez9692,857,aaron91@gmail.com
Katelyn Kramer1176,811,tflores@hotmail.com
Charles Williams9491,832,westraymond@gmail.com
Amanda Allen1567,261,samantha01@gmail.com
Kathy Carter7183,447,sylvia85@gmail.com
Audrey Wallace6221,200,cochranlaurie@hotmail.com
Jennifer Williams5772,631,ftaylor@gmail.com
Brittany Sheppard6011,517,donna95@hotmail.com
Jennifer Haley3454,663,pattersonsandra@yahoo.com
David Flores9059,260,amanda15@gmail.com
Jared Huber8017,575,marissalowe@yahoo.com
Melissa Roberts5463,707,palmerjoel@yahoo.com
Amber Leonard MD3184,725,april16@gmail.com
Melanie Huerta4541,218,gonzaleznathan@yahoo.com
Robin Hunt1049,611,johnbecker@hotmail.com
Steven Beltran3744,781,lynnashley@hotmail.com
Travis Cross9113,376,usmith@yahoo.com
Joseph Cannon4644,144,dawnblake@hotmail.com
Amy Owens7882,305,codyrussell@yahoo.com
Candice Brock2276,865,timothybowen@hotmail.com
John Long9379,418,ohuff@hotmail.com
Alan Bartlett4879,497,ambermclaughlin@gmail.com
Brandon Shepard964,768,jamescortez@hotmail.com
Katelyn Lutz517,547,hunterwilliams@yahoo.com
Rebecca Trevino9022,618,allenwhitney@hotmail.com
Kiara Bates3427,201,geralddouglas@yahoo.com
Donald Baxter4377,246,austinmanning@hotmail.com
Ashlee Downs7684,790,lopeztyler@hotmail.com
Kathryn Mcintosh5047,233,carlcampbell@gmail.com
Terry Tucker6527,189,martinezabigail@gmail.com
Tanya Valdez6459,325,ljensen@yahoo.com
Luis Phelps9657,179,walshsteven@yahoo.com
Rebecca Williamson DVM5044,786,stephaniebautista@hotmail.com
Christopher Gallagher7591,697,dylan16@gmail.com
Patrick Jennings5737,601,rthomas@gmail.com
Brittany Rogers9228,851,briannaclements@yahoo.com
William Williams7203,970,spencerrivera@gmail.com
Roger Hayes3904,988,aholmes@hotmail.com
Theresa Singleton1391,243,stephanieweiss@gmail.com
William Berry2067,397,jon74@yahoo.com
Ray Williams8905,496,qdyer@yahoo.com
Amanda Rodriguez8134,541,monicaweaver@hotmail.com
Elizabeth Parks6458,794,curtis11@gmail.com
Robin Bennett9337,756,cjones@hotmail.com
Jeremy Hernandez MD6064,112,andersonjames@yahoo.com
James Mills5395,699,elizabeth07@gmail.com
Thomas Jenkins3152,164,gabrielawatson@hotmail.com
Alicia Lopez9627,585,julia92@yahoo.com
Anthony Sanchez5064,767,kristine86@gmail.com
Rebekah Lee6380,144,perkinsphillip@gmail.com
Dwayne Keller2398,558,garciadaniel@hotmail.com
Daniel Martin6304,795,carrievilla@gmail.com
Patricia Brown7992,422,vjohnson@gmail.com
Jeffrey Hall870,440,lmckenzie@yahoo.com
Laura Gilbert3355,112,kennedysarah@yahoo.com
Brian Jackson1694,320,zbryant@hotmail.com
Calvin Sanford7271,213,taylorhenderson@hotmail.com
Blake Payne9567,121,khahn@yahoo.com
Rodney Schwartz6827,920,ugarcia@yahoo.com
Karen Miller9664,854,galvannathan@yahoo.com
Jennifer Peters9499,613,james40@gmail.com
Natalie Dillon5661,687,pwilson@hotmail.com
Alyssa Martin2748,254,andrew84@gmail.com
William Rangel7232,629,uhall@gmail.com
Abigail Caldwell3180,101,lewisstephen@hotmail.com
Nicholas Hull7739,321,zsherman@gmail.com
Wendy Gibson7356,942,rogergarcia@yahoo.com
Melissa Sweeney6550,200,erin13@hotmail.com
Gail Brennan2946,157,coffeyraymond@yahoo.com
Ronald Mills Jr.7067,517,laura13@gmail.com
Tonya Schmitt7658,191,maryjohns@yahoo.com
